Data;29033 - Comprometimento de renda das famÝlias com juros da dÝvida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29034 - Comprometimento de renda das famÝlias com o serviþo da dÝvida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29035 - Comprometimento de renda das famÝlias com o serviþo da dÝvida com o Sistema Financeiro Nacional exceto crÚdito habitacional - Com ajuste sazonal (RNDBF) - %;29036 - Comprometimento de renda das famÝlias com amortizaþÒo da dÝvida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29037 - Endividamento das famÝlias com o Sistema Financeiro Nacional em relaþÒo Ó renda acumulada dos ·ltimos doze meses (RNDBF) - %;29038 - Endividamento das famÝlias com o Sistema Financeiro Nacional exceto crÚdito habitacional em relaþÒo Ó renda acumulada dos ·ltimos 12 meses (RNDBF) - %;29263 - Comprometimento de renda das famÝlias com amortizaþÒo da dÝvida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %;29264 - Comprometimento de renda das famÝlias com juros da dÝvida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %;29265 - Comprometimento de renda das famÝlias com o serviþo da dÝvida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %;29266 - Comprometimento de renda das famÝlias com o serviþo da dÝvida com o Sistema Financeiro Nacional exceto crÚdito habitacional - Sem ajuste sazonal (RNDBF) - %
01/2005;-;-;-;-;16,51 ;13,84 ;-;-;-;-
02/2005;-;-;-;-;16,84 ;14,19 ;-;-;-;-
03/2005;5,07 ;17,00 ;16,61 ;11,93 ;17,20 ;14,56 ;12,01 ;5,14 ;17,15 ;16,78
04/2005;5,11 ;17,20 ;16,85 ;12,09 ;17,60 ;14,96 ;12,57 ;5,40 ;17,97 ;17,59
05/2005;5,19 ;17,42 ;17,09 ;12,23 ;17,96 ;15,32 ;12,82 ;5,52 ;18,34 ;17,98
06/2005;5,25 ;17,55 ;17,21 ;12,30 ;18,12 ;15,48 ;12,48 ;5,41 ;17,89 ;17,54
07/2005;5,33 ;17,71 ;17,33 ;12,38 ;18,40 ;15,74 ;12,19 ;5,31 ;17,50 ;17,17
08/2005;5,46 ;17,93 ;17,54 ;12,47 ;18,85 ;16,19 ;12,23 ;5,37 ;17,60 ;17,23
09/2005;5,61 ;18,29 ;18,01 ;12,68 ;19,11 ;16,43 ;12,64 ;5,58 ;18,22 ;17,87
10/2005;5,73 ;18,55 ;18,20 ;12,82 ;19,37 ;16,68 ;12,85 ;5,74 ;18,59 ;18,22
11/2005;5,73 ;18,63 ;18,29 ;12,90 ;19,61 ;16,92 ;12,80 ;5,69 ;18,49 ;18,12
12/2005;5,80 ;18,68 ;18,31 ;12,88 ;19,56 ;16,84 ;12,61 ;5,56 ;18,17 ;17,81
01/2006;5,83 ;18,68 ;18,36 ;12,85 ;19,89 ;17,14 ;12,48 ;5,51 ;17,99 ;17,63
02/2006;5,88 ;18,95 ;18,53 ;13,07 ;20,11 ;17,36 ;12,92 ;5,71 ;18,63 ;18,25
03/2006;5,93 ;19,28 ;18,87 ;13,35 ;20,45 ;17,66 ;13,45 ;6,01 ;19,46 ;19,07
04/2006;6,00 ;19,53 ;19,16 ;13,53 ;20,78 ;17,96 ;14,00 ;6,31 ;20,31 ;19,90
05/2006;6,02 ;19,56 ;19,19 ;13,54 ;21,07 ;18,23 ;14,13 ;6,35 ;20,48 ;20,08
06/2006;6,00 ;19,55 ;19,16 ;13,55 ;21,16 ;18,28 ;13,74 ;6,16 ;19,90 ;19,51
07/2006;6,02 ;19,50 ;19,10 ;13,48 ;21,39 ;18,47 ;13,32 ;6,00 ;19,32 ;18,94
08/2006;6,10 ;19,65 ;19,22 ;13,55 ;21,65 ;18,71 ;13,31 ;6,00 ;19,31 ;18,91
09/2006;6,03 ;19,51 ;19,14 ;13,48 ;21,74 ;18,81 ;13,41 ;6,00 ;19,41 ;19,01
10/2006;6,01 ;19,43 ;19,06 ;13,42 ;21,85 ;18,89 ;13,44 ;6,03 ;19,47 ;19,09
11/2006;5,94 ;19,26 ;18,90 ;13,32 ;22,07 ;19,08 ;13,22 ;5,91 ;19,13 ;18,75
12/2006;6,09 ;19,50 ;19,08 ;13,41 ;21,98 ;18,99 ;13,14 ;5,87 ;19,01 ;18,64
01/2007;6,12 ;19,39 ;18,98 ;13,27 ;22,28 ;19,24 ;12,90 ;5,81 ;18,71 ;18,32
02/2007;6,11 ;19,27 ;18,83 ;13,16 ;22,48 ;19,43 ;13,02 ;5,94 ;18,96 ;18,57
03/2007;6,09 ;18,93 ;18,52 ;12,84 ;22,04 ;19,07 ;12,96 ;6,17 ;19,13 ;18,72
04/2007;6,11 ;18,75 ;18,36 ;12,64 ;22,36 ;19,38 ;13,08 ;6,42 ;19,50 ;19,10
05/2007;6,18 ;18,56 ;18,17 ;12,38 ;22,88 ;19,87 ;12,95 ;6,51 ;19,46 ;19,04
06/2007;6,27 ;18,87 ;18,47 ;12,60 ;23,09 ;20,05 ;12,82 ;6,43 ;19,25 ;18,85
07/2007;6,39 ;19,23 ;18,83 ;12,84 ;23,57 ;20,52 ;12,72 ;6,36 ;19,08 ;18,70
08/2007;6,43 ;19,43 ;18,97 ;13,00 ;23,77 ;20,68 ;12,74 ;6,33 ;19,07 ;18,66
09/2007;6,40 ;19,29 ;18,93 ;12,89 ;23,97 ;20,85 ;12,76 ;6,36 ;19,12 ;18,73
10/2007;6,38 ;19,28 ;18,90 ;12,90 ;24,56 ;21,41 ;12,90 ;6,40 ;19,30 ;18,89
11/2007;6,39 ;19,43 ;19,04 ;13,04 ;24,88 ;21,70 ;12,95 ;6,38 ;19,33 ;18,92
12/2007;6,35 ;19,37 ;18,95 ;13,02 ;24,96 ;21,74 ;12,74 ;6,14 ;18,88 ;18,49
01/2008;6,46 ;19,62 ;19,19 ;13,16 ;25,29 ;22,05 ;12,81 ;6,17 ;18,98 ;18,59
02/2008;6,55 ;19,85 ;19,47 ;13,30 ;25,50 ;22,24 ;13,19 ;6,33 ;19,52 ;19,10
03/2008;6,67 ;20,24 ;19,80 ;13,57 ;25,99 ;22,68 ;13,74 ;6,79 ;20,53 ;20,09
04/2008;6,70 ;20,41 ;19,97 ;13,71 ;26,45 ;23,09 ;14,13 ;7,00 ;21,13 ;20,67
05/2008;6,70 ;20,44 ;20,01 ;13,74 ;26,80 ;23,39 ;14,28 ;7,02 ;21,30 ;20,86
06/2008;6,72 ;20,41 ;20,00 ;13,69 ;26,92 ;23,44 ;13,96 ;6,89 ;20,85 ;20,42
07/2008;6,76 ;20,47 ;20,03 ;13,71 ;27,15 ;23,60 ;13,62 ;6,73 ;20,35 ;19,91
08/2008;6,82 ;20,58 ;20,12 ;13,76 ;27,25 ;23,63 ;13,46 ;6,69 ;20,15 ;19,72
09/2008;6,91 ;20,64 ;20,22 ;13,73 ;27,41 ;23,70 ;13,50 ;6,82 ;20,32 ;19,86
10/2008;7,00 ;20,77 ;20,31 ;13,77 ;27,78 ;24,01 ;13,73 ;7,02 ;20,75 ;20,27
11/2008;7,06 ;20,77 ;20,32 ;13,71 ;27,46 ;23,62 ;13,62 ;7,06 ;20,68 ;20,20
12/2008;7,09 ;20,87 ;20,36 ;13,78 ;27,44 ;23,53 ;13,52 ;6,88 ;20,40 ;19,93
01/2009;7,10 ;20,89 ;20,38 ;13,79 ;27,26 ;23,32 ;13,49 ;6,82 ;20,31 ;19,84
02/2009;7,11 ;21,00 ;20,47 ;13,89 ;27,26 ;23,28 ;13,84 ;6,95 ;20,79 ;20,32
03/2009;7,13 ;21,06 ;20,56 ;13,93 ;27,32 ;23,27 ;14,15 ;7,25 ;21,40 ;20,90
04/2009;7,13 ;21,16 ;20,64 ;14,03 ;27,49 ;23,38 ;14,42 ;7,43 ;21,85 ;21,33
05/2009;7,12 ;21,34 ;20,86 ;14,22 ;27,85 ;23,65 ;14,73 ;7,43 ;22,16 ;21,65
06/2009;7,10 ;21,66 ;21,18 ;14,56 ;28,01 ;23,71 ;14,85 ;7,27 ;22,12 ;21,60
07/2009;7,04 ;21,81 ;21,29 ;14,77 ;28,15 ;23,72 ;14,67 ;7,01 ;21,68 ;21,17
08/2009;7,04 ;21,89 ;21,35 ;14,85 ;28,42 ;23,87 ;14,49 ;6,90 ;21,39 ;20,86
09/2009;7,05 ;21,99 ;21,44 ;14,94 ;28,76 ;24,07 ;14,62 ;6,95 ;21,57 ;21,03
10/2009;7,07 ;22,15 ;21,62 ;15,08 ;28,93 ;24,16 ;15,02 ;7,08 ;22,10 ;21,53
11/2009;7,05 ;22,22 ;21,67 ;15,17 ;29,12 ;24,31 ;15,09 ;7,05 ;22,14 ;21,56
12/2009;6,99 ;22,20 ;21,59 ;15,21 ;29,45 ;24,53 ;14,98 ;6,78 ;21,76 ;21,19
01/2010;6,99 ;22,30 ;21,67 ;15,31 ;29,82 ;24,65 ;15,09 ;6,74 ;21,83 ;21,26
02/2010;6,95 ;22,27 ;21,61 ;15,32 ;29,95 ;24,67 ;15,33 ;6,81 ;22,14 ;21,55
03/2010;6,94 ;22,34 ;21,69 ;15,40 ;30,35 ;24,92 ;15,69 ;7,07 ;22,76 ;22,11
04/2010;6,93 ;22,48 ;21,91 ;15,55 ;30,70 ;25,11 ;15,94 ;7,19 ;23,13 ;22,50
05/2010;6,98 ;22,72 ;22,11 ;15,74 ;31,19 ;25,45 ;16,24 ;7,30 ;23,54 ;22,89
06/2010;7,10 ;23,04 ;22,39 ;15,94 ;31,41 ;25,51 ;16,21 ;7,28 ;23,49 ;22,82
07/2010;7,15 ;23,09 ;22,47 ;15,94 ;32,03 ;25,94 ;15,79 ;7,10 ;22,89 ;22,23
08/2010;7,14 ;23,13 ;22,43 ;15,99 ;32,34 ;26,09 ;15,56 ;6,99 ;22,55 ;21,88
09/2010;7,14 ;23,23 ;22,54 ;16,09 ;32,65 ;26,22 ;15,68 ;7,04 ;22,72 ;22,05
10/2010;7,11 ;23,18 ;22,49 ;16,07 ;32,94 ;26,39 ;15,97 ;7,12 ;23,09 ;22,39
11/2010;7,21 ;23,54 ;22,82 ;16,33 ;33,46 ;26,74 ;16,24 ;7,21 ;23,45 ;22,73
12/2010;7,31 ;23,96 ;23,17 ;16,65 ;33,97 ;27,04 ;16,47 ;7,12 ;23,59 ;22,89
01/2011;7,40 ;24,19 ;23,40 ;16,79 ;34,10 ;27,06 ;16,64 ;7,17 ;23,81 ;23,10
02/2011;7,39 ;23,96 ;23,16 ;16,57 ;34,23 ;27,07 ;16,66 ;7,25 ;23,91 ;23,14
03/2011;7,41 ;23,92 ;23,03 ;16,51 ;34,86 ;27,56 ;16,89 ;7,57 ;24,46 ;23,59
04/2011;7,44 ;23,84 ;22,82 ;16,40 ;34,90 ;27,53 ;16,81 ;7,71 ;24,52 ;23,45
05/2011;7,47 ;23,77 ;22,68 ;16,30 ;35,11 ;27,56 ;16,78 ;7,77 ;24,55 ;23,37
06/2011;7,42 ;23,58 ;22,45 ;16,16 ;35,29 ;27,55 ;16,36 ;7,60 ;23,96 ;22,80
07/2011;7,41 ;23,49 ;22,38 ;16,08 ;35,37 ;27,45 ;15,88 ;7,37 ;23,25 ;22,11
08/2011;7,47 ;23,70 ;22,46 ;16,23 ;35,98 ;27,68 ;15,77 ;7,34 ;23,11 ;21,93
09/2011;7,65 ;24,20 ;22,99 ;16,55 ;36,27 ;27,86 ;16,10 ;7,51 ;23,61 ;22,39
10/2011;7,83 ;24,67 ;23,44 ;16,84 ;36,45 ;27,89 ;16,72 ;7,81 ;24,53 ;23,25
11/2011;7,81 ;24,62 ;23,35 ;16,81 ;36,50 ;27,81 ;16,70 ;7,77 ;24,47 ;23,19
12/2011;7,80 ;24,58 ;23,27 ;16,78 ;36,56 ;27,73 ;16,61 ;7,57 ;24,18 ;22,91
01/2012;7,76 ;24,54 ;23,20 ;16,78 ;36,79 ;27,81 ;16,67 ;7,52 ;24,19 ;22,90
02/2012;7,76 ;24,49 ;23,15 ;16,73 ;36,78 ;27,70 ;16,85 ;7,61 ;24,46 ;23,15
03/2012;7,78 ;24,54 ;23,22 ;16,76 ;36,87 ;27,60 ;17,20 ;7,92 ;25,12 ;23,74
04/2012;7,72 ;24,47 ;23,12 ;16,75 ;36,99 ;27,58 ;17,20 ;8,00 ;25,20 ;23,81
05/2012;7,72 ;24,53 ;23,19 ;16,81 ;37,21 ;27,65 ;17,28 ;8,03 ;25,31 ;23,90
06/2012;7,65 ;24,38 ;23,05 ;16,73 ;37,42 ;27,65 ;16,90 ;7,82 ;24,72 ;23,34
07/2012;7,51 ;24,09 ;22,78 ;16,58 ;37,54 ;27,59 ;16,36 ;7,50 ;23,86 ;22,50
08/2012;7,39 ;23,80 ;22,36 ;16,41 ;37,71 ;27,55 ;15,98 ;7,29 ;23,27 ;21,92
09/2012;7,29 ;23,59 ;22,22 ;16,30 ;37,49 ;27,29 ;15,87 ;7,18 ;23,05 ;21,69
10/2012;7,20 ;23,44 ;22,07 ;16,24 ;37,69 ;27,33 ;16,08 ;7,17 ;23,25 ;21,86
11/2012;7,12 ;23,46 ;22,04 ;16,34 ;37,88 ;27,35 ;16,17 ;7,05 ;23,22 ;21,84
12/2012;7,06 ;23,47 ;22,02 ;16,41 ;38,04 ;27,33 ;16,21 ;6,83 ;23,04 ;21,66
01/2013;7,00 ;23,55 ;22,06 ;16,55 ;38,17 ;27,32 ;16,43 ;6,77 ;23,20 ;21,80
02/2013;6,94 ;23,46 ;21,93 ;16,52 ;38,21 ;27,22 ;16,65 ;6,83 ;23,48 ;22,05
03/2013;6,84 ;23,19 ;21,74 ;16,35 ;38,10 ;26,92 ;16,81 ;7,00 ;23,81 ;22,33
04/2013;6,78 ;23,04 ;21,63 ;16,26 ;38,25 ;26,88 ;16,73 ;7,04 ;23,77 ;22,26
05/2013;6,63 ;22,70 ;21,26 ;16,07 ;38,38 ;26,80 ;16,52 ;6,94 ;23,46 ;21,94
06/2013;6,58 ;22,56 ;21,13 ;15,98 ;38,37 ;26,60 ;16,14 ;6,76 ;22,90 ;21,40
07/2013;6,57 ;22,53 ;21,08 ;15,96 ;38,54 ;26,56 ;15,78 ;6,59 ;22,37 ;20,88
08/2013;6,61 ;22,64 ;21,11 ;16,03 ;38,66 ;26,46 ;15,69 ;6,54 ;22,23 ;20,74
09/2013;6,62 ;22,71 ;21,15 ;16,09 ;38,46 ;26,24 ;15,73 ;6,54 ;22,27 ;20,77
10/2013;6,63 ;22,67 ;21,12 ;16,04 ;38,35 ;26,14 ;15,90 ;6,61 ;22,51 ;20,98
11/2013;6,70 ;22,79 ;21,26 ;16,09 ;38,37 ;26,01 ;15,86 ;6,58 ;22,44 ;20,90
12/2013;6,81 ;23,01 ;21,44 ;16,20 ;38,36 ;25,86 ;15,90 ;6,49 ;22,39 ;20,85
01/2014;6,80 ;23,01 ;21,38 ;16,21 ;38,36 ;25,75 ;16,01 ;6,50 ;22,51 ;20,95
02/2014;6,81 ;22,97 ;21,32 ;16,16 ;38,29 ;25,54 ;16,23 ;6,66 ;22,89 ;21,29
03/2014;6,78 ;22,85 ;21,21 ;16,07 ;38,18 ;25,30 ;16,55 ;6,98 ;23,53 ;21,86
04/2014;6,84 ;22,92 ;21,27 ;16,08 ;38,17 ;25,15 ;16,57 ;7,14 ;23,71 ;22,00
05/2014;6,92 ;23,01 ;21,36 ;16,09 ;38,34 ;25,07 ;16,54 ;7,22 ;23,76 ;22,02
06/2014;6,98 ;23,10 ;21,39 ;16,12 ;38,52 ;25,04 ;16,33 ;7,20 ;23,53 ;21,78
07/2014;7,03 ;23,15 ;21,44 ;16,12 ;38,61 ;24,93 ;16,01 ;7,08 ;23,09 ;21,35
08/2014;7,01 ;23,05 ;21,28 ;16,04 ;38,68 ;24,83 ;15,81 ;7,00 ;22,81 ;21,07
09/2014;7,01 ;23,05 ;21,29 ;16,04 ;38,78 ;24,81 ;15,77 ;6,95 ;22,72 ;20,97
10/2014;7,04 ;23,08 ;21,29 ;16,04 ;39,00 ;24,83 ;15,96 ;7,04 ;23,00 ;21,22
